id,number_of_epochs,model,architecture,object,optimizer,loss,learning_rate,sequence_len,number_of_layers,test_r2
48,400,Generation,LSTM,solar_30k,Adam,MSE,0.001,36,4,0.91265
49,50,Generation,GRU,solar_30k,Adam,MSE,0.001,12,2,0.958671
49,100,Generation,GRU,solar_30k,Adam,MSE,0.001,12,2,0.9639
49,200,Generation,GRU,solar_30k,Adam,MSE,0.001,12,2,0.954568
49,400,Generation,GRU,solar_30k,Adam,MSE,0.001,12,2,0.926282
50,50,Generation,GRU,solar_30k,Adam,MSE,0.001,12,4,0.962034
50,100,Generation,GRU,solar_30k,Adam,MSE,0.001,12,4,0.969459
50,200,Generation,GRU,solar_30k,Adam,MSE,0.001,12,4,0.960942
50,400,Generation,GRU,solar_30k,Adam,MSE,0.001,12,4,0.954344
51,50,Generation,GRU,solar_30k,Adam,MSE,0.001,24,2,0.961742
51,100,Generation,GRU,solar_30k,Adam,MSE,0.001,24,2,0.962252
51,200,Generation,GRU,solar_30k,Adam,MSE,0.001,24,2,0.955525
51,400,Generation,GRU,solar_30k,Adam,MSE,0.001,24,2,0.908111
52,50,Generation,GRU,solar_30k,Adam,MSE,0.001,24,4,0.957798
52,100,Generation,GRU,solar_30k,Adam,MSE,0.001,24,4,0.966987
52,200,Generation,GRU,solar_30k,Adam,MSE,0.001,24,4,0.95424
52,400,Generation,GRU,solar_30k,Adam,MSE,0.001,24,4,0.942912
53,50,Generation,GRU,solar_30k,Adam,MSE,0.001,36,2,0.959217
53,100,Generation,GRU,solar_30k,Adam,MSE,0.001,36,2,0.965284
53,200,Generation,GRU,solar_30k,Adam,MSE,0.001,36,2,0.959549
53,400,Generation,GRU,solar_30k,Adam,MSE,0.001,36,2,0.931261
54,50,Generation,GRU,solar_30k,Adam,MSE,0.001,36,4,0.958516
54,100,Generation,GRU,solar_30k,Adam,MSE,0.001,36,4,0.966327
54,200,Generation,GRU,solar_30k,Adam,MSE,0.001,36,4,0.945926
54,400,Generation,GRU,solar_30k,Adam,MSE,0.001,36,4,0.929818
55,50,Generation,FEEDFORWARD,solar_30k,Adam,MSE,0.0001,1,2,0.947738
55,100,Generation,FEEDFORWARD,solar_30k,Adam,MSE,0.0001,1,2,0.946985
55,200,Generation,FEEDFORWARD,solar_30k,Adam,MSE,0.0001,1,2,0.947939
55,400,Generation,FEEDFORWARD,solar_30k,Adam,MSE,0.0001,1,2,0.943931
56,50,Generation,FEEDFORWARD,solar_30k,Adam,MSE,0.0001,1,4,0.941042
56,100,Generation,FEEDFORWARD,solar_30k,Adam,MSE,0.0001,1,4,0.948927
56,200,Generation,FEEDFORWARD,solar_30k,Adam,MSE,0.0001,1,4,0.944257
56,400,Generation,FEEDFORWARD,solar_30k,Adam,MSE,0.0001,1,4,0.933664
61,50,Generation,LSTM,solar_30k,Adam,MSE,0.0001,12,2,0.91265
61,100,Generation,LSTM,solar_30k,Adam,MSE,0.0001,12,2,0.930556
61,200,Generation,LSTM,solar_30k,Adam,MSE,0.0001,12,2,0.951411
61,400,Generation,LSTM,solar_30k,Adam,MSE,0.0001,12,2,0.956922
62,50,Generation,LSTM,solar_30k,Adam,MSE,0.0001,12,4,0.913393
62,100,Generation,LSTM,solar_30k,Adam,MSE,0.0001,12,4,0.938064
62,200,Generation,LSTM,solar_30k,Adam,MSE,0.0001,12,4,0.944781
62,400,Generation,LSTM,solar_30k,Adam,MSE,0.0001,12,4,0.941208
63,50,Generation,LSTM,solar_30k,Adam,MSE,0.0001,24,2,0.912943
63,100,Generation,LSTM,solar_30k,Adam,MSE,0.0001,24,2,0.925649
63,200,Generation,LSTM,solar_30k,Adam,MSE,0.0001,24,2,0.941664
63,400,Generation,LSTM,solar_30k,Adam,MSE,0.0001,24,2,0.941206
64,50,Generation,LSTM,solar_30k,Adam,MSE,0.0001,24,4,0.884371
64,100,Generation,LSTM,solar_30k,Adam,MSE,0.0001,24,4,0.913473
64,200,Generation,LSTM,solar_30k,Adam,MSE,0.0001,24,4,0.922698
64,400,Generation,LSTM,solar_30k,Adam,MSE,0.0001,24,4,0.930678
65,50,Generation,LSTM,solar_30k,Adam,MSE,0.0001,36,2,0.914225
65,100,Generation,LSTM,solar_30k,Adam,MSE,0.0001,36,2,0.926305
65,200,Generation,LSTM,solar_30k,Adam,MSE,0.0001,36,2,0.933251
65,400,Generation,LSTM,solar_30k,Adam,MSE,0.0001,36,2,0.927624
66,50,Generation,LSTM,solar_30k,Adam,MSE,0.0001,36,4,0.881131
66,100,Generation,LSTM,solar_30k,Adam,MSE,0.0001,36,4,0.92705
66,200,Generation,LSTM,solar_30k,Adam,MSE,0.0001,36,4,0.933381
66,400,Generation,LSTM,solar_30k,Adam,MSE,0.0001,36,4,0.918114
67,50,Generation,GRU,solar_30k,Adam,MSE,0.0001,12,2,0.931277
67,100,Generation,GRU,solar_30k,Adam,MSE,0.0001,12,2,0.94932
67,200,Generation,GRU,solar_30k,Adam,MSE,0.0001,12,2,0.957721
67,400,Generation,GRU,solar_30k,Adam,MSE,0.0001,12,2,0.962022
68,50,Generation,GRU,solar_30k,Adam,MSE,0.0001,12,4,0.937273
68,100,Generation,GRU,solar_30k,Adam,MSE,0.0001,12,4,0.953584
68,200,Generation,GRU,solar_30k,Adam,MSE,0.0001,12,4,0.958931
68,400,Generation,GRU,solar_30k,Adam,MSE,0.0001,12,4,0.961722
69,50,Generation,GRU,solar_30k,Adam,MSE,0.0001,24,2,0.929786
69,100,Generation,GRU,solar_30k,Adam,MSE,0.0001,24,2,0.947394
69,200,Generation,GRU,solar_30k,Adam,MSE,0.0001,24,2,0.955867
69,400,Generation,GRU,solar_30k,Adam,MSE,0.0001,24,2,0.961919
70,50,Generation,GRU,solar_30k,Adam,MSE,0.0001,24,4,0.927838
70,100,Generation,GRU,solar_30k,Adam,MSE,0.0001,24,4,0.952019
70,200,Generation,GRU,solar_30k,Adam,MSE,0.0001,24,4,0.956949
70,400,Generation,GRU,solar_30k,Adam,MSE,0.0001,24,4,0.962361
71,50,Generation,GRU,solar_30k,Adam,MSE,0.0001,36,2,0.942694
71,100,Generation,GRU,solar_30k,Adam,MSE,0.0001,36,2,0.954304
71,200,Generation,GRU,solar_30k,Adam,MSE,0.0001,36,2,0.957907
71,400,Generation,GRU,solar_30k,Adam,MSE,0.0001,36,2,0.961594
72,50,Generation,GRU,solar_30k,Adam,MSE,0.0001,36,4,0.926686
72,100,Generation,GRU,solar_30k,Adam,MSE,0.0001,36,4,0.943655
72,200,Generation,GRU,solar_30k,Adam,MSE,0.0001,36,4,0.958966
72,400,Generation,GRU,solar_30k,Adam,MSE,0.0001,36,4,0.961383
73,50,Generation,FEEDFORWARD,solar_30k,Adam,MAPE,0.001,1,2,-0.436058
73,100,Generation,FEEDFORWARD,solar_30k,Adam,MAPE,0.001,1,2,-0.0947803
73,200,Generation,FEEDFORWARD,solar_30k,Adam,MAPE,0.001,1,2,0.843455
73,400,Generation,FEEDFORWARD,solar_30k,Adam,MAPE,0.001,1,2,0.862861
74,50,Generation,FEEDFORWARD,solar_30k,Adam,MAPE,0.001,1,4,0.0651543
74,100,Generation,FEEDFORWARD,solar_30k,Adam,MAPE,0.001,1,4,0.850126
